# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 330         4.122       51.992      11.90       Hoek van Holland
# 356         5.146       51.859      0.70        Herwijnen   
# 377         5.763       51.198      30.00       Ell         
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# FH        : Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Hourly mean wind speed (in 0.1 m/s)
# STN,YYYYMMDD,   HH,   FH
  377,20230101,    1,   90
  377,20230101,    2,   80
  377,20230101,    3,   80
  377,20230101,    4,   90
  377,20230101,    5,   90
  377,20230101,    6,   80
  377,20230101,    7,   80
  377,20230101,    8,   80
  377,20230101,    9,   90
  377,20230101,   10,   80
  377,20230101,   11,   70
  377,20230101,   12,   70
  377,20230101,   13,   70
  377,20230101,   14,   60
  377,20230101,   15,   40
  377,20230101,   16,   50
  377,20230101,   17,   50
  377,20230101,   18,   40
  377,20230101,   19,   30
  377,20230101,   20,   30
  377,20230101,   21,   30
  377,20230101,   22,   30
  377,20230101,   23,   20
  377,20230101,   24,   30
  377,20230102,    1,   60
  377,20230102,    2,   60
  377,20230102,    3,   60
  377,20230102,    4,   60
  377,20230102,    5,   70
  377,20230102,    6,   70
  377,20230102,    7,   60
  377,20230102,    8,   60
  377,20230102,    9,   50
  377,20230102,   10,   40
  377,20230102,   11,   40
  377,20230102,   12,   50
  377,20230102,   13,   30
  377,20230102,   14,   30
  377,20230102,   15,   30
  377,20230102,   16,   50
  377,20230102,   17,   40
  377,20230102,   18,   40
  377,20230102,   19,   40
  377,20230102,   20,   40
  377,20230102,   21,   30
  377,20230102,   22,   30
  377,20230102,   23,   30
  377,20230102,   24,   30
  377,20230103,    1,   30
  377,20230103,    2,   30
  377,20230103,    3,   30
  377,20230103,    4,   20
  377,20230103,    5,   20
  377,20230103,    6,   30
  377,20230103,    7,   30
  377,20230103,    8,   30
  377,20230103,    9,   30
  377,20230103,   10,   40
  377,20230103,   11,   50
