,p_mp
2023-01-01 00:00:00+00:00,0.0
2023-01-01 01:00:00+00:00,0.0
2023-01-01 02:00:00+00:00,0.0
2023-01-01 03:00:00+00:00,0.0
2023-01-01 04:00:00+00:00,0.0
2023-01-01 05:00:00+00:00,0.0
2023-01-01 06:00:00+00:00,0.0
2023-01-01 07:00:00+00:00,0.0
2023-01-01 08:00:00+00:00,0.012382400659455948
2023-01-01 09:00:00+00:00,0.06657296852398734
2023-01-01 10:00:00+00:00,0.14247452685708556
2023-01-01 11:00:00+00:00,0.08478757889948987
2023-01-01 12:00:00+00:00,0.1297674879167946
2023-01-01 13:00:00+00:00,0.04613948218617262
2023-01-01 14:00:00+00:00,0.015133865103232644
2023-01-01 15:00:00+00:00,0.0002903265567566444
2023-01-01 16:00:00+00:00,0.0
2023-01-01 17:00:00+00:00,0.0
2023-01-01 18:00:00+00:00,0.0
2023-01-01 19:00:00+00:00,0.0
2023-01-01 20:00:00+00:00,0.0
2023-01-01 21:00:00+00:00,0.0
2023-01-01 22:00:00+00:00,0.0
2023-01-01 23:00:00+00:00,0.0
2023-01-02 00:00:00+00:00,0.0
2023-01-02 01:00:00+00:00,0.0
2023-01-02 02:00:00+00:00,0.0
2023-01-02 03:00:00+00:00,0.0
2023-01-02 04:00:00+00:00,0.0
2023-01-02 05:00:00+00:00,0.0
2023-01-02 06:00:00+00:00,0.0
2023-01-02 07:00:00+00:00,0.0
2023-01-02 08:00:00+00:00,0.004560924994652287
2023-01-02 09:00:00+00:00,0.03146135578247343
2023-01-02 10:00:00+00:00,0.09034317455494192
2023-01-02 11:00:00+00:00,0.09620120002526068
2023-01-02 12:00:00+00:00,0.032569092253456715
2023-01-02 13:00:00+00:00,0.0311064287665749
2023-01-02 14:00:00+00:00,0.03008867773634273
2023-01-02 15:00:00+00:00,0.0009997246794847872
2023-01-02 16:00:00+00:00,0.0
2023-01-02 17:00:00+00:00,0.0
2023-01-02 18:00:00+00:00,0.0
2023-01-02 19:00:00+00:00,0.0
2023-01-02 20:00:00+00:00,0.0
2023-01-02 21:00:00+00:00,0.0
2023-01-02 22:00:00+00:00,0.0
2023-01-02 23:00:00+00:00,0.0
2023-01-03 00:00:00+00:00,0.0
2023-01-03 01:00:00+00:00,0.0
2023-01-03 02:00:00+00:00,0.0
2023-01-03 03:00:00+00:00,0.0
2023-01-03 04:00:00+00:00,0.0
2023-01-03 05:00:00+00:00,0.0
2023-01-03 06:00:00+00:00,0.0
2023-01-03 07:00:00+00:00,0.0
2023-01-03 08:00:00+00:00,0.004595078037834297
2023-01-03 09:00:00+00:00,0.017393879112377206
2023-01-03 10:00:00+00:00,0.039267263521654584
2023-01-03 11:00:00+00:00,0.042491919369305006
2023-01-03 12:00:00+00:00,0.065829483444446
2023-01-03 13:00:00+00:00,0.07033001192754491
2023-01-03 14:00:00+00:00,0.03267353308798844
2023-01-03 15:00:00+00:00,0.004226439115402208
2023-01-03 16:00:00+00:00,0.0
2023-01-03 17:00:00+00:00,0.0
2023-01-03 18:00:00+00:00,0.0
2023-01-03 19:00:00+00:00,0.0
2023-01-03 20:00:00+00:00,0.0
2023-01-03 21:00:00+00:00,0.0
2023-01-03 22:00:00+00:00,0.0
2023-01-03 23:00:00+00:00,0.0
2023-01-04 00:00:00+00:00,0.0
2023-01-04 01:00:00+00:00,0.0
2023-01-04 02:00:00+00:00,0.0
2023-01-04 03:00:00+00:00,0.0
2023-01-04 04:00:00+00:00,0.0
2023-01-04 05:00:00+00:00,0.0
2023-01-04 06:00:00+00:00,0.0
2023-01-04 07:00:00+00:00,0.0
2023-01-04 08:00:00+00:00,0.0011662782301743416
2023-01-04 09:00:00+00:00,0.012166326502564146
2023-01-04 10:00:00+00:00,0.01681396825247475
2023-01-04 11:00:00+00:00,0.039231446806915225
2023-01-04 12:00:00+00:00,0.08951399367187744
2023-01-04 13:00:00+00:00,0.07959277422247937
2023-01-04 14:00:00+00:00,0.04752503595647365
2023-01-04 15:00:00+00:00,0.001901558987108143
2023-01-04 16:00:00+00:00,0.0
2023-01-04 17:00:00+00:00,0.0
2023-01-04 18:00:00+00:00,0.0
2023-01-04 19:00:00+00:00,0.0
2023-01-04 20:00:00+00:00,0.0
2023-01-04 21:00:00+00:00,0.0
2023-01-04 22:00:00+00:00,0.0
2023-01-04 23:00:00+00:00,0.0
2023-01-05 00:00:00+00:00,0.0
2023-01-05 01:00:00+00:00,0.0
2023-01-05 02:00:00+00:00,0.0
2023-01-05 03:00:00+00:00,0.0
2023-01-05 04:00:00+00:00,0.0
2023-01-05 05:00:00+00:00,0.0
2023-01-05 06:00:00+00:00,0.0
2023-01-05 07:00:00+00:00,0.00019845703553251172
2023-01-05 08:00:00+00:00,0.011044118583935345
2023-01-05 09:00:00+00:00,0.033527831013924335
2023-01-05 10:00:00+00:00,0.08841189071564552
2023-01-05 11:00:00+00:00,0.3614354358923816
2023-01-05 12:00:00+00:00,0.15000945097348387
2023-01-05 13:00:00+00:00,0.06307124345645741
2023-01-05 14:00:00+00:00,0.0279299813617766
2023-01-05 15:00:00+00:00,0.0004387616522816334
2023-01-05 16:00:00+00:00,0.0
2023-01-05 17:00:00+00:00,0.0
2023-01-05 18:00:00+00:00,0.0
2023-01-05 19:00:00+00:00,0.0
2023-01-05 20:00:00+00:00,0.0
2023-01-05 21:00:00+00:00,0.0
2023-01-05 22:00:00+00:00,0.0
2023-01-05 23:00:00+00:00,0.0
2023-01-06 00:00:00+00:00,0.0
2023-01-06 01:00:00+00:00,0.0
2023-01-06 02:00:00+00:00,0.0
2023-01-06 03:00:00+00:00,0.0
2023-01-06 04:00:00+00:00,0.0
2023-01-06 05:00:00+00:00,0.0
2023-01-06 06:00:00+00:00,0.0
2023-01-06 07:00:00+00:00,0.0
2023-01-06 08:00:00+00:00,0.11991811381397409
2023-01-06 09:00:00+00:00,0.36269999992641755
2023-01-06 10:00:00+00:00,0.40552834603063376
2023-01-06 11:00:00+00:00,0.34220085415813095
2023-01-06 12:00:00+00:00,0.5004693939620022
2023-01-06 13:00:00+00:00,0.19024326622877918
2023-01-06 14:00:00+00:00,0.0919470720089146
2023-01-06 15:00:00+00:00,0.004661086147620221
2023-01-06 16:00:00+00:00,0.0
2023-01-06 17:00:00+00:00,0.0
2023-01-06 18:00:00+00:00,0.0
2023-01-06 19:00:00+00:00,0.0
2023-01-06 20:00:00+00:00,0.0
2023-01-06 21:00:00+00:00,0.0
2023-01-06 22:00:00+00:00,0.0
2023-01-06 23:00:00+00:00,0.0
2023-01-07 00:00:00+00:00,0.0
2023-01-07 01:00:00+00:00,0.0
2023-01-07 02:00:00+00:00,0.0
2023-01-07 03:00:00+00:00,0.0
2023-01-07 04:00:00+00:00,0.0
2023-01-07 05:00:00+00:00,0.0
2023-01-07 06:00:00+00:00,0.0
2023-01-07 07:00:00+00:00,0.00013455780381635687
2023-01-07 08:00:00+00:00,0.018185320888058895
2023-01-07 09:00:00+00:00,0.04306594148542555
2023-01-07 10:00:00+00:00,0.2633527894041448
2023-01-07 11:00:00+00:00,0.3441031981978512
2023-01-07 12:00:00+00:00,0.11654901800553333
2023-01-07 13:00:00+00:00,0.10840192877652974
2023-01-07 14:00:00+00:00,0.03293420919516028
2023-01-07 15:00:00+00:00,0.006823359052171666
2023-01-07 16:00:00+00:00,0.0
2023-01-07 17:00:00+00:00,0.0
2023-01-07 18:00:00+00:00,0.0
2023-01-07 19:00:00+00:00,0.0
2023-01-07 20:00:00+00:00,0.0
2023-01-07 21:00:00+00:00,0.0
2023-01-07 22:00:00+00:00,0.0
2023-01-07 23:00:00+00:00,0.0
2023-01-08 00:00:00+00:00,0.0
2023-01-08 01:00:00+00:00,0.0
2023-01-08 02:00:00+00:00,0.0
2023-01-08 03:00:00+00:00,0.0
2023-01-08 04:00:00+00:00,0.0
2023-01-08 05:00:00+00:00,0.0
2023-01-08 06:00:00+00:00,0.0
2023-01-08 07:00:00+00:00,1.4780113431240725e-05
2023-01-08 08:00:00+00:00,0.03329936749224752
2023-01-08 09:00:00+00:00,0.32116083017291003
2023-01-08 10:00:00+00:00,0.45356339582178573
2023-01-08 11:00:00+00:00,0.4169938377579584
2023-01-08 12:00:00+00:00,0.4841869242046985
2023-01-08 13:00:00+00:00,0.42169246604238075
2023-01-08 14:00:00+00:00,0.23622828672510338
2023-01-08 15:00:00+00:00,0.04798178995967702
2023-01-08 16:00:00+00:00,0.0
2023-01-08 17:00:00+00:00,0.0
2023-01-08 18:00:00+00:00,0.0
2023-01-08 19:00:00+00:00,0.0
2023-01-08 20:00:00+00:00,0.0
2023-01-08 21:00:00+00:00,0.0
2023-01-08 22:00:00+00:00,0.0
2023-01-08 23:00:00+00:00,0.0
2023-01-09 00:00:00+00:00,0.0
2023-01-09 01:00:00+00:00,0.0
2023-01-09 02:00:00+00:00,0.0
2023-01-09 03:00:00+00:00,0.0
2023-01-09 04:00:00+00:00,0.0
2023-01-09 05:00:00+00:00,0.0
2023-01-09 06:00:00+00:00,0.0
2023-01-09 07:00:00+00:00,0.0
2023-01-09 08:00:00+00:00,0.008195764613131037
2023-01-09 09:00:00+00:00,0.04766336377065495
2023-01-09 10:00:00+00:00,0.05484306892380307
2023-01-09 11:00:00+00:00,0.0732971615614907
2023-01-09 12:00:00+00:00,0.06762303860319639
2023-01-09 13:00:00+00:00,0.14614787032985993
2023-01-09 14:00:00+00:00,0.020982055182867016
2023-01-09 15:00:00+00:00,0.005201834353553795
2023-01-09 16:00:00+00:00,0.0
2023-01-09 17:00:00+00:00,0.0
2023-01-09 18:00:00+00:00,0.0
2023-01-09 19:00:00+00:00,0.0
2023-01-09 20:00:00+00:00,0.0
2023-01-09 21:00:00+00:00,0.0
2023-01-09 22:00:00+00:00,0.0
2023-01-09 23:00:00+00:00,0.0
2023-01-10 00:00:00+00:00,0.0
2023-01-10 01:00:00+00:00,0.0
2023-01-10 02:00:00+00:00,0.0
2023-01-10 03:00:00+00:00,0.0
2023-01-10 04:00:00+00:00,0.0
2023-01-10 05:00:00+00:00,0.0
2023-01-10 06:00:00+00:00,0.0
2023-01-10 07:00:00+00:00,0.002133258326495471
2023-01-10 08:00:00+00:00,0.0278136981089795
2023-01-10 09:00:00+00:00,0.04542544458768836
2023-01-10 10:00:00+00:00,0.06428730284532555
2023-01-10 11:00:00+00:00,0.062170476324053814
2023-01-10 12:00:00+00:00,0.041902974674657534
2023-01-10 13:00:00+00:00,0.03445856309908044
2023-01-10 14:00:00+00:00,0.008113982585420508
2023-01-10 15:00:00+00:00,4.33931750947547e-05
2023-01-10 16:00:00+00:00,0.0
2023-01-10 17:00:00+00:00,0.0
2023-01-10 18:00:00+00:00,0.0
2023-01-10 19:00:00+00:00,0.0
2023-01-10 20:00:00+00:00,0.0
2023-01-10 21:00:00+00:00,0.0
2023-01-10 22:00:00+00:00,0.0
2023-01-10 23:00:00+00:00,0.0
2023-01-11 00:00:00+00:00,0.0
2023-01-11 01:00:00+00:00,0.0
2023-01-11 02:00:00+00:00,0.0
2023-01-11 03:00:00+00:00,0.0
2023-01-11 04:00:00+00:00,0.0
2023-01-11 05:00:00+00:00,0.0
2023-01-11 06:00:00+00:00,0.0
2023-01-11 07:00:00+00:00,0.0
2023-01-11 08:00:00+00:00,0.01820382020793977
2023-01-11 09:00:00+00:00,0.3063478834850349
2023-01-11 10:00:00+00:00,0.37602978345464305
2023-01-11 11:00:00+00:00,0.22556397869056008
2023-01-11 12:00:00+00:00,0.1961419710264831
2023-01-11 13:00:00+00:00,0.19416389716172425
2023-01-11 14:00:00+00:00,0.14951493373844268
2023-01-11 15:00:00+00:00,0.034416516939935506
2023-01-11 16:00:00+00:00,0.0
2023-01-11 17:00:00+00:00,0.0
2023-01-11 18:00:00+00:00,0.0
2023-01-11 19:00:00+00:00,0.0
2023-01-11 20:00:00+00:00,0.0
2023-01-11 21:00:00+00:00,0.0
2023-01-11 22:00:00+00:00,0.0
2023-01-11 23:00:00+00:00,0.0
2023-01-12 00:00:00+00:00,0.0
2023-01-12 01:00:00+00:00,0.0
2023-01-12 02:00:00+00:00,0.0
2023-01-12 03:00:00+00:00,0.0
2023-01-12 04:00:00+00:00,0.0
2023-01-12 05:00:00+00:00,0.0
2023-01-12 06:00:00+00:00,0.0
2023-01-12 07:00:00+00:00,0.0
2023-01-12 08:00:00+00:00,0.0011235140915823807
2023-01-12 09:00:00+00:00,0.009247022423146298
2023-01-12 10:00:00+00:00,0.017079731498001398
2023-01-12 11:00:00+00:00,0.01743757491378795
2023-01-12 12:00:00+00:00,0.014168481221268577
2023-01-12 13:00:00+00:00,0.009602200796919464
2023-01-12 14:00:00+00:00,0.005579018456828664
2023-01-12 15:00:00+00:00,0.0
2023-01-12 16:00:00+00:00,0.0
2023-01-12 17:00:00+00:00,0.0
2023-01-12 18:00:00+00:00,0.0
2023-01-12 19:00:00+00:00,0.0
2023-01-12 20:00:00+00:00,0.0
2023-01-12 21:00:00+00:00,0.0
2023-01-12 22:00:00+00:00,0.0
2023-01-12 23:00:00+00:00,0.0
2023-01-13 00:00:00+00:00,0.0
2023-01-13 01:00:00+00:00,0.0
2023-01-13 02:00:00+00:00,0.0
2023-01-13 03:00:00+00:00,0.0
2023-01-13 04:00:00+00:00,0.0
2023-01-13 05:00:00+00:00,0.0
2023-01-13 06:00:00+00:00,0.0
2023-01-13 07:00:00+00:00,0.0
2023-01-13 08:00:00+00:00,0.005209388448079449
2023-01-13 09:00:00+00:00,0.020916060818175753
2023-01-13 10:00:00+00:00,0.025391629411209
2023-01-13 11:00:00+00:00,0.035068965560895685
2023-01-13 12:00:00+00:00,0.06432179686849834
2023-01-13 13:00:00+00:00,0.06640921872231156
2023-01-13 14:00:00+00:00,0.0499692491025895
2023-01-13 15:00:00+00:00,0.005538130651226482
2023-01-13 16:00:00+00:00,0.0
2023-01-13 17:00:00+00:00,0.0
2023-01-13 18:00:00+00:00,0.0
2023-01-13 19:00:00+00:00,0.0
2023-01-13 20:00:00+00:00,0.0
2023-01-13 21:00:00+00:00,0.0
2023-01-13 22:00:00+00:00,0.0
2023-01-13 23:00:00+00:00,0.0
2023-01-14 00:00:00+00:00,0.0
2023-01-14 01:00:00+00:00,0.0
2023-01-14 02:00:00+00:00,0.0
2023-01-14 03:00:00+00:00,0.0
2023-01-14 04:00:00+00:00,0.0
2023-01-14 05:00:00+00:00,0.0
2023-01-14 06:00:00+00:00,0.0
2023-01-14 07:00:00+00:00,0.0
2023-01-14 08:00:00+00:00,0.00018339644128618647
2023-01-14 09:00:00+00:00,0.0034923942969888417
2023-01-14 10:00:00+00:00,0.017473472948959345
2023-01-14 11:00:00+00:00,0.01341332315081519
2023-01-14 12:00:00+00:00,0.01652260482896944
2023-01-14 13:00:00+00:00,0.011619565397431749
2023-01-14 14:00:00+00:00,0.009496546192005526
2023-01-14 15:00:00+00:00,0.000724925604062543
2023-01-14 16:00:00+00:00,0.0
2023-01-14 17:00:00+00:00,0.0
2023-01-14 18:00:00+00:00,0.0
2023-01-14 19:00:00+00:00,0.0
2023-01-14 20:00:00+00:00,0.0
2023-01-14 21:00:00+00:00,0.0
2023-01-14 22:00:00+00:00,0.0
2023-01-14 23:00:00+00:00,0.0
2023-01-15 00:00:00+00:00,0.0
2023-01-15 01:00:00+00:00,0.0
2023-01-15 02:00:00+00:00,0.0
2023-01-15 03:00:00+00:00,0.0
2023-01-15 04:00:00+00:00,0.0
2023-01-15 05:00:00+00:00,0.0
2023-01-15 06:00:00+00:00,0.0
2023-01-15 07:00:00+00:00,8.904430442689901e-05
2023-01-15 08:00:00+00:00,0.13154493818570065
2023-01-15 09:00:00+00:00,0.16011891735841974
2023-01-15 10:00:00+00:00,0.2531503752504531
2023-01-15 11:00:00+00:00,0.1736334724021004
2023-01-15 12:00:00+00:00,0.09803942910465535
2023-01-15 13:00:00+00:00,0.08883915124960948
2023-01-15 14:00:00+00:00,0.050105938709872865
2023-01-15 15:00:00+00:00,0.0013169411131850135
2023-01-15 16:00:00+00:00,0.0
2023-01-15 17:00:00+00:00,0.0
2023-01-15 18:00:00+00:00,0.0
2023-01-15 19:00:00+00:00,0.0
2023-01-15 20:00:00+00:00,0.0
2023-01-15 21:00:00+00:00,0.0
